Opening,Plot,Tree.Num,Year,Type,Value
264,1,1,1995,rw,1.877
264,1,1,1996,rw,1.777
264,1,1,1997,rw,0.949
264,1,1,1998,rw,1.416
264,1,1,1999,rw,2.033
264,1,1,2000,rw,2.266
264,1,1,2001,rw,1.5
264,1,1,2002,rw,1.483
264,1,1,2003,rw,1.4
264,1,1,2004,rw,1.266
264,1,1,2005,rw,0.916
264,1,1,2006,rw,0.917
264,1,1,2007,rw,0.9
264,1,1,2008,rw,1.166
264,1,1,2009,rw,1.084
264,1,1,2010,rw,1.4
264,1,1,2011,rw,1.316
264,1,1,2012,rw,1.3
264,1,1,2013,rw,1.25
264,1,1,2014,rw,1.166
264,1,1,2015,rw,1.532
264,1,1,2016,rw,1.666
264,1,1,2017,rw,1.333
264,1,1,2018,rw,1.217
264,1,1,1963,rwd,0.484
264,1,1,1964,rwd,0.399
264,1,1,1965,rwd,0.335
264,1,1,1966,rwd,0.379
264,1,1,1967,rwd,0.335
264,1,1,1968,rwd,0.309
264,1,1,1969,rwd,0.363
264,1,1,1970,rwd,0.306
264,1,1,1971,rwd,0.335
264,1,1,1972,rwd,0.362
264,1,1,1973,rwd,0.339
264,1,1,1974,rwd,0.291
264,1,1,1975,rwd,0.378
264,1,1,1976,rwd,0.227
264,1,1,1977,rwd,0.336
264,1,1,1978,rwd,0.33
264,1,1,1979,rwd,0.315
264,1,1,1980,rwd,0.402
264,1,1,1981,rwd,0.427
264,1,1,1982,rwd,0.398
264,1,1,1983,rwd,0.409
264,1,1,1984,rwd,0.374
264,1,1,1985,rwd,0.35
264,1,1,1986,rwd,0.5
264,1,1,1987,rwd,0.516
264,1,1,1988,rwd,0.463
264,1,1,1989,rwd,0.425
264,1,1,1990,rwd,0.455
264,1,1,1991,rwd,0.44
264,1,1,1992,rwd,0.517
264,1,1,1993,rwd,0.448
264,1,1,1994,rwd,0.31
264,1,1,1995,rwd,0.349
264,1,1,1996,rwd,0.448
264,1,1,1997,rwd,0.421
264,1,1,1998,rwd,0.425
264,1,1,1999,rwd,0.336
264,1,1,2000,rwd,0.377
264,1,1,2001,rwd,0.416
264,1,1,2002,rwd,0.481
264,1,1,2003,rwd,0.485
264,1,1,2004,rwd,0.519
264,1,1,2005,rwd,0.492
264,1,1,2006,rwd,0.38
264,1,1,2007,rwd,0.349
264,1,1,2008,rwd,0.452
264,1,1,2009,rwd,0.349
264,1,1,2010,rwd,0.461
264,1,1,2011,rwd,0.425
264,1,1,2012,rwd,0.518
264,1,1,2013,rwd,0.523
264,1,1,2014,rwd,0.45
264,1,1,2015,rwd,0.453
264,1,1,2016,rwd,0.533
264,1,1,2017,rwd,0.532
264,1,1,2018,rwd,0.459
264,1,2,1966,ew,9.44
264,1,2,1967,ew,0.411
264,1,2,1968,ew,0.664
264,1,2,1969,ew,0.812
264,1,2,1970,ew,0.563
264,1,2,1971,ew,0.485
264,1,2,1972,ew,1.346
264,1,2,1973,ew,1.522
264,1,2,1974,ew,0.943
264,1,2,1975,ew,1.021
264,1,2,1976,ew,0.779
264,1,2,1977,ew,0.884
264,1,2,1978,ew,1.116
264,1,2,1979,ew,0.865
264,1,2,1980,ew,0.743
264,1,2,1981,ew,0.869
264,1,2,1982,ew,1.082
264,1,2,1983,ew,0.741
264,1,2,1984,ew,0.832
264,1,2,1985,ew,0.995
264,1,2,1986,ew,0.83
264,1,2,1987,ew,0.743
264,1,2,1988,ew,0.508
264,1,2,1989,ew,0.519
264,1,2,1990,ew,0.411
264,1,2,1991,ew,0.595
264,1,2,1992,ew,0.42
264,1,2,1993,ew,0.657
264,1,2,1994,ew,0.337
264,1,2,1995,ew,0.311
264,1,2,1996,ew,0.287
264,1,2,1997,ew,0.149
264,1,2,1998,ew,0.235
264,1,2,1999,ew,0.555
264,1,2,2000,ew,0.521
264,1,2,2001,ew,0.486
264,1,2,2002,ew,0.522
264,1,2,2003,ew,0.572
264,1,2,2004,ew,0.337
264,1,2,2005,ew,0.225
264,1,2,2006,ew,0.336
264,1,2,2007,ew,0.174
264,1,2,2008,ew,0.211
264,1,2,2009,ew,0.213
264,1,2,2010,ew,0.187
264,1,2,2011,ew,0.223
264,1,2,2012,ew,0.273
264,1,2,2013,ew,0.459
264,1,2,2014,ew,0.46
264,1,2,2015,ew,0.29
264,1,2,2016,ew,0.288
264,1,2,2017,ew,0.18
264,1,2,2018,ew,0.277
264,1,2,1966,lw,1.779
264,1,2,1967,lw,1.479
264,1,2,1968,lw,1.324
264,1,2,1969,lw,1.26
264,1,2,1970,lw,3.032
264,1,2,1971,lw,1.286
264,1,2,1972,lw,1.074
264,1,2,1973,lw,0.834
264,1,2,1974,lw,0.831
264,1,2,1975,lw,0.534
264,1,2,1976,lw,0.434
264,1,2,1977,lw,0.492
264,1,2,1978,lw,0.368
264,1,2,1979,lw,0.334
264,1,2,1980,lw,0.322
264,1,2,1981,lw,0.465
264,1,2,1982,lw,0.344
264,1,2,1983,lw,0.334
264,1,2,1984,lw,0.323
264,1,2,1985,lw,0.385
264,1,2,1986,lw,0.359
264,1,2,1987,lw,0.458
264,1,2,1988,lw,0.458
